time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2024/10/19/10:28:58.222589,14924,1729301338,125188128,gps,2,0,37.238844799999995,126.7729184,29.697,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:28:58.333987,14925,1729301338,250188107,gps,2,0,37.238844799999995,126.7729184,29.698,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:28:58.469276,14926,1729301338,375188086,gps,2,0,37.238844799999995,126.7729184,29.696,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:28:58.589046,14927,1729301338,500188065,gps,2,0,37.238844799999995,126.7729184,29.697,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:28:58.751954,14928,1729301338,625188044,gps,2,0,37.238844799999995,126.7729184,29.698,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:28:58.964011,14929,1729301338,875188002,gps,2,0,37.238844799999995,126.7729184,29.697,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00044100000000000004)",2
2024/10/19/10:28:59.096092,14930,1729301339,187981,gps,2,0,37.238844799999995,126.7729184,29.698,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0004)",2
2024/10/19/10:28:59.212363,14931,1729301339,125187960,gps,2,0,37.238844799999995,126.7729184,29.697,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:28:59.341444,14932,1729301339,250187939,gps,2,0,37.238844799999995,126.7729184,29.696,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:28:59.470514,14933,1729301339,375187918,gps,2,0,37.238844799999995,126.7729184,29.696,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:28:59.591360,14934,1729301339,500187897,gps,2,0,37.238844799999995,126.7729184,29.696,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:28:59.714282,14935,1729301339,625187876,gps,2,0,37.238844799999995,126.7729184,29.697,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:28:59.837934,14936,1729301339,750187854,gps,2,0,37.238844799999995,126.7729184,29.698,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:28:59.962095,14937,1729301339,875187833,gps,2,0,37.238844799999995,126.7729184,29.699,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:00.091170,14938,1729301340,187812,gps,2,0,37.238844799999995,126.7729184,29.698,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:00.214762,14939,1729301340,125187791,gps,2,0,37.238844799999995,126.77291849999999,29.701,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:00.349126,14940,1729301340,250187770,gps,2,0,37.2388449,126.77291849999999,29.708000000000002,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:00.470514,14941,1729301340,375187749,gps,2,0,37.2388449,126.77291849999999,29.709,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:00.588507,14942,1729301340,500187728,gps,2,0,37.2388451,126.7729186,29.708000000000002,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:00.748671,14943,1729301340,625187707,gps,2,0,37.2388453,126.7729188,29.707,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:00.960195,14944,1729301340,875187665,gps,2,0,37.238846099999996,126.7729193,29.697,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00044100000000000004)",2
2024/10/19/10:29:01.096016,14945,1729301341,187644,gps,2,0,37.238846599999995,126.7729196,29.694,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0004)",2
2024/10/19/10:29:01.215038,14946,1729301341,125187623,gps,2,0,37.238847299999996,126.77292,29.696,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:01.346172,14947,1729301341,250187602,gps,2,0,37.238848,126.77292039999999,29.699,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
